ID,CASE_NUMBER,BLOCK,IUCR_CODE,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESC,ARREST,DOMESTIC,BEAT_NUM,DISTRICT_CODE,WARD_NO,COMMUNITY_CODE,FBI_CODE,X_COORDINATE,Y_COORDINATE,INCIDENT_YEAR,DATE_OF_UPDATE,LATITUDE,LONGITUDE,LOCATION,INCIDENT_DAYOFWEEK,INCIDENT_DATE,INCIDENT_TIME,INCIDENT_MONTH
10000029,TI191987,33XX W BROADWAY,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,HOSPITAL BUILDING/GROUNDS,False,True,311,15,12.0,26.0,05,1174984.0,1871802.0,2016,2016-01-29 21:20:00,41.95293818,-87.69024274,"(41.95293818, -87.69024274)",TUESDAY,2016-01-05,21:20:00,1
10000030,DB091253,90XX E DIVISION ST,650,MOTOR VEHICLE THEFT,AUTOMOBILE,HOSPITAL BUILDING/GROUNDS,True,False,1411,4,44.0,30.0,13,1161068.0,1855057.0,2021,2021-08-03 13:40:00,41.85842221,-87.52542323,"(41.85842221, -87.52542323)",THURSDAY,2021-07-22,13:40:00,7
10000031,RQ507215,16XX W HALSTED ST,560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,True,False,912,16,29.0,31.0,06,1167933.0,1881851.0,2018,2018-02-26 03:23:00,41.85333976,-87.50664724,,MONDAY,2018-02-19,03:23:00,2
10000032,TM751590,17XX W WESTERN AVE,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,BAR OR TAVERN,True,True,311,6,8.0,4.0,02,1166188.0,1863939.0,2016,2016-08-24 23:34:00,41.9269954,-87.72862052,"(41.9269954, -87.72862052)",MONDAY,2016-08-15,23:34:00,8
10000033,UC685848,59XX W WESTERN AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,CTA BUS,True,False,122,3,21.0,19.0,08B,1169045.0,1897791.0,2022,2023-01-25 21:04:00,41.86560941,-87.58635416,"(41.86560941, -87.58635416)",TUESDAY,2022-12-27,21:04:00,12
10000034,ZP352621,86XX W STATE ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,GROCERY FOOD STORE,False,False,912,3,28.0,13.0,10,1166482.0,1859778.0,2020,2020-04-29 06:53:00,41.86593952,-87.63152408,"(41.86593952, -87.63152408)",SUNDAY,2020-04-26,06:53:00,4
10000035,DQ072433,85XX W HALSTED ST,1310,NARCOTICS,POSS: COCAINE,COMMERCIAL / BUSINESS OFFICE,True,False,112,25,45.0,35.0,17,1150305.0,1919589.0,2022,2022-08-16 18:01:00,41.78269541,-87.6980526,"(41.78269541, -87.6980526)",WEDNESDAY,2022-07-27,18:01:00,7
10000036,FY772144,51XX N MICHIGAN AVE,750,THEFT,THEFT $500 AND UNDER,HOSPITAL BUILDING/GROUNDS,False,True,221,9,14.0,66.0,07,1176346.0,1874673.0,2019,2019-10-17 15:28:00,41.89346537,-87.62205972,"(41.89346537, -87.62205972)",THURSDAY,2019-10-03,15:28:00,10
10000037,LC440872,59XX E HALSTED ST,460,BATTERY,SIMPLE,RESIDENCE,False,False,2011,11,37.0,55.0,18,1198309.0,1863749.0,2015,2015-04-15 15:04:00,41.77685456,-87.67849031,"(41.77685456, -87.67849031)",WEDNESDAY,2015-03-18,15:04:00,3
10000038,DB432053,83XX E MADISON ST,320,ROBBERY,STRONGARM - NO WEAPON,STREET,True,False,122,7,12.0,20.0,17,1187993.0,1885912.0,2016,2016-09-05 10:09:00,41.83823511,-87.57366625,"(41.83823511, -87.57366625)",SATURDAY,2016-08-27,10:09:00,8
10000039,BS956393,92XX N COTTAGE GROVE AVE,730,THEFT,SHOPLIFTING,OTHER,False,False,412,2,29.0,74.0,09,1155175.0,1921930.0,2021,2021-07-29 16:50:00,41.73525832,-87.78143789,"(41.73525832, -87.78143789)",MONDAY,2021-07-05,16:50:00,7
10000040,QI179990,11XX E NORTH AVE,460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,2211,5,22.0,11.0,26,1183106.0,1860316.0,2022,2022-06-10 22:38:00,41.78306952,-87.60318358,"(41.78306952, -87.60318358)",FRIDAY,2022-05-13,22:38:00,5
10000041,BJ796772,99XX S GRAND AVE,610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,True,False,1711,4,33.0,70.0,26,1168835.0,1862979.0,2016,2016-08-14 08:18:00,41.91989228,-87.76068529,"(41.91989228, -87.76068529)",SUNDAY,2016-07-17,08:18:00,7
10000042,TH914924,16XX E HALSTED ST,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,APARTMENT,True,True,612,7,39.0,18.0,15,1196714.0,1906912.0,2020,2020-09-17 16:10:00,41.8341772,-87.68863637,"(41.8341772, -87.68863637)",FRIDAY,2020-08-21,16:10:00,8
10000043,VO751230,3XX E PULASKI RD,850,DECEPTIVE PRACTICE,FRAUD,OTHER,False,False,711,5,9.0,5.0,03,1173455.0,1899227.0,2016,2016-02-21 20:41:00,41.84061179,-87.57234765,"(41.93933315, -87.57234765)",WEDNESDAY,2016-02-10,20:41:00,2
10000044,WB337302,71XX N NORTH AVE,750,THEFT,THEFT $500 AND UNDER,SIDEWALK,False,False,1111,12,16.0,74.0,15,1197670.0,1893526.0,2016,2016-08-31 12:00:00,41.84704537,-87.69181887,"(41.84704537, -87.69181887)",THURSDAY,2016-08-11,12:00:00,8
10000045,GT137831,40XX W FULLERTON AVE,320,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,False,False,122,24,12.0,18.0,09,1189555.0,1920863.0,2023,2023-10-13 18:44:00,41.70109514,-87.7395227,"(41.70109514, -87.7395227)",WEDNESDAY,2023-09-27,18:44:00,9
10000046,RJ083929,78XX W COTTAGE GROVE AVE,750,THEFT,THEFT $500 AND UNDER,RESIDENCE,False,False,2411,15,6.0,56.0,13,1166395.0,1873651.0,2020,2020-11-20 11:05:00,41.77812993,-87.76922063,"(41.77812993, -87.76922063)",TUESDAY,2020-10-27,11:05:00,10
10000047,KQ217435,74XX S CHICAGO AVE,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,912,3,16.0,47.0,03,1197441.0,1879761.0,2022,2022-08-14 20:02:00,41.87152845,-87.59628138,"(41.87152845, -87.59628138)",TUESDAY,2022-08-09,20:02:00,8
10000048,ND217053,82XX S CHICAGO AVE,620,BURGLARY,UNLAWFUL ENTRY,HOSPITAL BUILDING/GROUNDS,False,False,911,16,6.0,41.0,26,1157875.0,1906765.0,2015,2015-11-23 15:57:00,41.77710868,-87.710013,"(41.77710868, -87.710013)",SATURDAY,2015-10-31,15:57:00,10
10000049,NH192952,56XX N WESTERN AVE,560,ASSAULT,SIMPLE,VEHICLE NON-COMMERCIAL,False,False,1211,11,42.0,10.0,04B,1177565.0,1897022.0,2019,2019-08-10 20:04:00,41.72850038,-87.55128388,"(41.72850038, -87.55128388)",MONDAY,2019-08-05,20:04:00,8
10000050,XO632844,54XX N FULLERTON AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,ALLEY,False,True,113,22,22.0,73.0,17,1178838.0,1902090.0,2021,2021-07-26 08:42:00,41.70363854,-87.60756388,"(41.70363854, -87.60756388)",TUESDAY,2021-07-06,08:42:00,7
10000051,ZX897119,79XX W CICERO AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),RETAIL STORE,True,False,212,12,33.0,72.0,11,1154840.0,1873216.0,2018,2018-12-10 23:08:00,41.7702415,-87.72562434,"(41.7702415, -87.72562434)",THURSDAY,2018-11-15,23:08:00,11
10000052,OF505729,6XX W STATE ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,SIDEWALK,False,False,711,24,44.0,61.0,10,1186375.0,1911108.0,2018,2018-03-25 15:56:00,41.81927833,-87.53526328,"(41.81927833, -87.53526328)",MONDAY,2018-02-26,15:56:00,2
10000053,PN545403,21XX W BROADWAY,850,DECEPTIVE PRACTICE,FRAUD,CTA TRAIN,False,False,812,2,3.0,18.0,09,1156989.0,1924509.0,2021,2021-10-05 16:32:00,41.84061179,-87.53206049,"(41.7346822, -87.53206049)",SUNDAY,2021-10-03,16:32:00,10
10000054,AI164798,5XX N PULASKI RD,650,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2211,8,47.0,7.0,07,1169009.0,1915732.0,2023,2023-10-31 23:37:00,41.90635485,-87.56761816,"(41.90635485, -87.56761816)",THURSDAY,2023-10-12,23:37:00,10
10000055,IJ972163,91XX S FULLERTON AVE,2830,CRIMINAL TRESPASS,TO RESIDENCE,GROCERY FOOD STORE,False,False,2511,12,44.0,34.0,08B,1197074.0,1928580.0,2020,2020-03-15 21:21:00,41.77370192,-87.71045025,"(41.77370192, -87.71045025)",WEDNESDAY,2020-02-26,21:21:00,2
10000056,KS170594,30XX N WESTERN AVE,460,BATTERY,SIMPLE,CONVENIENCE STORE,True,False,621,19,18.0,72.0,19,1183491.0,1892483.0,2017,2017-11-23 19:13:00,41.86604915,-87.72726259,"(41.86604915, -87.72726259)",THURSDAY,2017-11-16,19:13:00,11
10000057,OC929549,5XX N BROADWAY,560,ASSAULT,SIMPLE,CTA BUS,False,True,411,2,12.0,54.0,08B,1159315.0,1909920.0,2021,2021-07-03 10:47:00,41.94086096,-87.56361181,,WEDNESDAY,2021-06-09,10:47:00,6
10000058,JL235523,32XX N CLARK ST,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,SIDEWALK,True,True,1121,7,12.0,52.0,09,1159239.0,1861248.0,2018,2018-11-03 20:36:00,41.71602133,-87.59922324,"(41.71602133, -87.59922324)",FRIDAY,2018-10-12,20:36:00,10
10000059,RP755391,86XX S CICERO AVE,750,THEFT,THEFT $500 AND UNDER,BAR OR TAVERN,False,False,311,22,15.0,29.0,16,1185097.0,1923023.0,2022,2022-03-13 22:18:00,41.98665139,-87.68791255,"(41.98665139, -87.68791255)",TUESDAY,2022-03-01,22:18:00,3
10000060,BI099090,1XX S HALSTED ST,740,THEFT,THEFT OVER $500,PARKING LOT / GARAGE(NON.RESID.),False,False,1611,2,30.0,17.0,08A,1165408.0,1851741.0,2020,2020-07-10 07:32:00,41.85763916,-87.59816969,"(41.85763916, -87.59816969)",THURSDAY,2020-06-25,07:32:00,6
10000061,NV232971,39XX W DIVISION ST,750,THEFT,THEFT $500 AND UNDER,CTA TRAIN,False,False,221,19,9.0,45.0,01A,1161134.0,1850277.0,2019,2019-04-18 13:43:00,41.84865276,-87.58164256,"(41.84865276, -87.58164256)",WEDNESDAY,2019-03-27,13:43:00,3
10000062,HD623098,41XX E CICERO AVE,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA TRAIN,True,False,521,2,26.0,57.0,17,1199674.0,1868732.0,2022,2022-07-23 19:03:00,41.92281909,-87.75795933,"(41.92281909, -87.75795933)",FRIDAY,2022-07-15,19:03:00,7
10000063,GF698071,68XX S NORTH AVE,740,THEFT,THEFT OVER $500,OTHER,False,False,521,19,31.0,31.0,16,1178119.0,1927422.0,2019,2019-08-06 08:24:00,41.93173285,-87.52557765,"(41.93173285, -87.52557765)",WEDNESDAY,2019-07-31,08:24:00,7
10000064,IJ848773,49XX W CHICAGO AVE,750,THEFT,THEFT $500 AND UNDER,GAS STATION,False,False,1411,7,13.0,16.0,08B,1161966.0,1875729.0,2018,2018-09-26 12:58:00,41.90113057,-87.68101038,"(41.90113057, -87.68101038)",TUESDAY,2018-09-25,12:58:00,9
10000065,EU174956,95XX W GRAND AVE,620,BURGLARY,UNLAWFUL ENTRY,STREET,False,False,611,8,25.0,73.0,19,1191079.0,1927320.0,2019,2019-09-18 12:12:00,41.84061179,-87.72280197,"(41.89545398, -87.72280197)",SATURDAY,2019-09-07,12:12:00,9
10000066,NH908689,53XX N MICHIGAN AVE,460,BATTERY,SIMPLE,SIDEWALK,False,False,121,18,30.0,48.0,16,1174392.0,1850528.0,2015,2015-10-13 19:00:00,41.87495581,-87.65503875,"(41.87495581, -87.65503875)",TUESDAY,2015-10-06,19:00:00,10
10000067,XX296529,56XX E WESTERN AVE,1310,NARCOTICS,POSS: COCAINE,RESTAURANT,True,False,113,8,20.0,11.0,14,1150472.0,1863710.0,2019,2019-08-14 15:15:00,41.85581043,-87.78316552,"(41.85581043, -87.78316552)",MONDAY,2019-07-22,15:15:00,7
10000068,BL837937,89XX N CHICAGO AVE,460,BATTERY,SIMPLE,ALLEY,True,False,2011,3,20.0,21.0,04B,1166586.0,1910448.0,2023,2023-06-22 20:52:00,41.80674698,-87.53104227,"(41.80674698, -87.53104227)",FRIDAY,2023-06-09,20:52:00,6
10000069,JH114540,1XX E GRAND AVE,800,ARSON,AGGRAVATED,RESIDENCE,True,False,211,10,16.0,10.0,03,1169481.0,1890235.0,2022,2022-06-19 13:49:00,41.92516708,-87.75371693,"(41.92516708, -87.75371693)",MONDAY,2022-05-30,13:49:00,5
10000070,YS464103,10XX E CLARK ST,1240,NARCOTICS,POSS: HEROIN(WHITE),PARK PROPERTY,True,False,321,18,11.0,49.0,14,1171733.0,1883688.0,2021,2021-04-29 21:15:00,41.83793718,-87.78101985,"(41.83793718, -87.78101985)",SATURDAY,2021-04-10,21:15:00,4
10000071,CO556594,36XX W CHICAGO AVE,560,ASSAULT,SIMPLE,CTA BUS,False,False,1022,17,21.0,23.0,11,1178793.0,1869393.0,2018,2018-08-13 17:44:00,41.89848733,-87.65269781,"(41.89848733, -87.65269781)",MONDAY,2018-08-06,17:44:00,8
10000072,SV591261,54XX N CHICAGO AVE,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,COMMERCIAL / BUSINESS OFFICE,False,True,1211,15,25.0,10.0,26,1175330.0,1923631.0,2018,2018-05-30 10:42:00,41.83377041,-87.67975847,,FRIDAY,2018-05-25,10:42:00,5
10000073,KZ191342,62XX N BROADWAY,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CONVENIENCE STORE,True,False,521,19,38.0,74.0,01A,1175023.0,1877597.0,2017,2017-12-12 10:47:00,41.92170267,-87.62342301,,SATURDAY,2017-11-25,10:47:00,11
10000074,AP153727,24XX W NORTH AVE,910,VANDALISM,CRIMINAL DAMAGE,RESIDENCE,True,False,1711,6,48.0,32.0,05,1161592.0,1882403.0,2018,2018-12-02 18:43:00,41.85795469,-87.51246121,"(41.85795469, -87.51246121)",TUESDAY,2018-11-06,18:43:00,11
10000075,IG131355,76XX N ASHLAND AVE,910,VANDALISM,CRIMINAL DAMAGE,CONVENIENCE STORE,True,False,2211,22,25.0,51.0,18,1183679.0,1914049.0,2020,2020-07-08 16:40:00,41.82735818,-87.74824175,"(41.82735818, -87.74824175)",SATURDAY,2020-06-27,16:40:00,6
10000076,CA722514,57XX W COTTAGE GROVE AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),CONVENIENCE STORE,True,False,311,12,1.0,63.0,26,1170456.0,1889338.0,2018,2018-07-14 20:39:00,41.85847462,-87.60407907,"(41.85847462, -87.60407907)",THURSDAY,2018-07-12,20:39:00,7
10000077,WP467885,31XX S CHICAGO AVE,460,BATTERY,SIMPLE,OTHER,False,False,611,7,28.0,14.0,04A,1190836.0,1885125.0,2015,2015-07-08 19:28:00,41.8249197,-87.69542691,"(41.8249197, -87.69542691)",SATURDAY,2015-06-20,19:28:00,6
10000078,QJ077476,63XX S CLARK ST,740,THEFT,THEFT OVER $500,CTA BUS,False,False,311,15,4.0,36.0,11,1174984.0,1917484.0,2022,2022-09-08 20:08:00,41.73387303,-87.70337099,"(41.73387303, -87.70337099)",SUNDAY,2022-08-14,20:08:00,8
10000079,CU418409,44XX N STATE ST,460,BATTERY,SIMPLE,PARKING LOT / GARAGE(NON.RESID.),False,False,1121,19,26.0,28.0,14,1177365.0,1860447.0,2022,2022-06-16 18:54:00,41.78685954,-87.71492208,"(41.78685954, -87.71492208)",MONDAY,2022-06-13,18:54:00,6
10000080,AI186420,88XX W MICHIGAN AVE,1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,False,True,521,14,41.0,40.0,15,1153896.0,1897494.0,2022,2022-06-16 21:10:00,41.7185551,-87.73597365,"(41.7185551, -87.73597365)",TUESDAY,2022-06-14,21:10:00,6
10000081,TP393120,12XX N ASHLAND AVE,312,ROBBERY,ARMED: HANDGUN,OTHER,False,False,1211,22,42.0,22.0,06,1180803.0,1890235.0,2016,2016-08-09 06:36:00,41.91448065,-87.52403176,"(41.91448065, -87.52403176)",MONDAY,2016-08-08,06:36:00,8
10000082,WO367970,41XX S NORTH AVE,750,THEFT,THEFT $500 AND UNDER,RESTAURANT,False,True,611,10,42.0,7.0,10,1176414.0,1928215.0,2021,2021-11-03 16:47:00,41.83987476,-87.62182107,"(41.83987476, -87.62182107)",THURSDAY,2021-10-21,16:47:00,10
10000083,SS800446,51XX N BROADWAY,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,ALLEY,True,True,621,19,35.0,20.0,09,1198715.0,1862430.0,2019,2019-10-22 18:05:00,41.71370647,-87.52372254,"(41.71370647, -87.52372254)",TUESDAY,2019-10-01,18:05:00,10
10000084,MO321572,59XX E STATE ST,750,THEFT,THEFT $500 AND UNDER,STREET,False,False,112,9,47.0,56.0,14,1198752.0,1900202.0,2023,2023-02-05 11:23:00,41.84715626,-87.7211151,"(41.84715626, -87.7211151)",TUESDAY,2023-01-31,11:23:00,1
10000085,UZ904283,7XX S CICERO AVE,750,THEFT,THEFT $500 AND UNDER,APARTMENT,False,False,811,24,27.0,29.0,20,1178576.0,1859552.0,2015,2015-06-17 16:58:00,41.78598054,-87.5522009,"(41.78598054, -87.5522009)",MONDAY,2015-05-25,16:58:00,5
10000086,CN240970,1XX W BROADWAY,910,VANDALISM,CRIMINAL DAMAGE,BAR OR TAVERN,True,False,312,19,49.0,32.0,09,1191978.0,1920175.0,2023,2023-09-29 19:46:00,41.75989932,-87.69607289,"(41.75989932, -87.69607289)",THURSDAY,2023-08-31,19:46:00,8
10000087,YD711431,35XX S HALSTED ST,312,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,True,False,611,15,43.0,17.0,13,1191594.0,1876100.0,2019,2019-06-06 06:36:00,41.96781259,-87.6821142,"(41.96781259, -87.6821142)",TUESDAY,2019-06-04,06:36:00,6
10000088,MU108918,58XX S WESTERN AVE,850,DECEPTIVE PRACTICE,FRAUD,RESIDENCE,False,False,611,11,10.0,12.0,11,1191004.0,1890235.0,2021,2021-11-04 03:53:00,41.70468519,-87.71034779,"(41.70468519, -87.71034779)",THURSDAY,2021-10-07,03:53:00,10
